[Sun Oct 04 07:41:14.483998 2015] [mpm_prefork:notice] [pid 1297] AH00163: Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 configured -- resuming normal operations
[Sun Oct 04 08:54:54.253750 2015] [:error] [pid 3753] [client 127.0.0.1:38358] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:55:14.259708 2015] [:error] [pid 3757] [client 127.0.0.1:38361] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:55:34.259186 2015] [:error] [pid 3282] [client 127.0.0.1:38362] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:55:54.255029 2015] [:error] [pid 3285] [client 127.0.0.1:38363] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:56:14.255295 2015] [:error] [pid 3754] [client 127.0.0.1:38364] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:56:34.255373 2015] [:error] [pid 3284] [client 127.0.0.1:38365] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:56:54.253069 2015] [:error] [pid 3283] [client 127.0.0.1:38366] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:57:14.258314 2015] [:error] [pid 3755] [client 127.0.0.1:38369] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:57:34.289304 2015] [:error] [pid 3756] [client 127.0.0.1:38388] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:57:54.261977 2015] [:error] [pid 3286] [client 127.0.0.1:38390] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:58:14.259742 2015] [:error] [pid 3753] [client 127.0.0.1:38399] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:58:34.262744 2015] [:error] [pid 3757] [client 127.0.0.1:38400] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:58:54.259857 2015] [:error] [pid 3282] [client 127.0.0.1:38402] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:59:14.317960 2015] [:error] [pid 3285] [client 127.0.0.1:38409] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:59:34.261225 2015] [:error] [pid 3754] [client 127.0.0.1:38410] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:59:54.284960 2015] [:error] [pid 3284] [client 127.0.0.1:38463] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:00:14.889692 2015] [:error] [pid 3283] [client 127.0.0.1:38499] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:00:35.469664 2015] [:error] [pid 3755] [client 127.0.0.1:38521] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:00:54.362678 2015] [:error] [pid 3756] [client 127.0.0.1:38524] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:01:14.389286 2015] [:error] [pid 3286] [client 127.0.0.1:38541] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:01:34.338566 2015] [:error] [pid 3753] [client 127.0.0.1:38543] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:01:54.488094 2015] [:error] [pid 3757] [client 127.0.0.1:38574] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:02:14.315895 2015] [:error] [pid 3282] [client 127.0.0.1:38599] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:02:34.326045 2015] [:error] [pid 3285] [client 127.0.0.1:38608] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:02:54.323936 2015] [:error] [pid 3754] [client 127.0.0.1:38614] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:03:14.260559 2015] [:error] [pid 3284] [client 127.0.0.1:38626] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:03:34.261535 2015] [:error] [pid 3283] [client 127.0.0.1:38645] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:03:54.276974 2015] [:error] [pid 3755] [client 127.0.0.1:38646] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:04:14.279156 2015] [:error] [pid 3756] [client 127.0.0.1:38647] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 09:04:34.255971 2015] [:error] [pid 3286] [client 127.0.0.1:38648] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
